comments;sentiment
comprei o relogio, unissex e enviaram um relogio feminino, bem menor que as especificacoes do anuncio.;neg
sempre compro na lannister.pra mim e a melhor loja on-line;pos
produto de qualidade excelente;pos
otimo custo-beneficio;pos
ok;pos
muito boa. gostei da atencao com a entrega;pos
"4 .  se fosse vidro tinha quebrado; veio na caixa sem nenhuma protecao por dentro, a caixa estava muito amassada. desculpe.. mas gosto de comprar de vcs.";pos
medio. a peca nao serviu;neg
comprei o produto dia 25 de fevereiro e hoje dia 29 de marco nao fora entregue na minha residencia. nao sei se os correios desse brasil e pessimo ou foi a propria loja que demorou postar.;neg
fiz minha compra faz 30 dias e nao recebi ainda meu produto.precisa melhorar nas entregas;neg
prazo entrega. espero receber esta semana, o que nao seria tao extravagante, porem...mais atrazo do que isso me faria desistir do baratheon.;pos
entregou no prazo certo, fiquei feliz com a compra que fiz;pos
lindo relogio adorei;pos
comprei dois lustres pendentes, com a parceira targaryen e so me enviaram um lustre. abri reclamacao, mas ainda nao recebi resposta. aguardo solucao por parte de lojas lannister.;neg
super produto . muito bom alta qualidade!;pos
produto bonito, entregue bem valado e dentro do prazo. recomendo!;pos
muito bom;pos
falta de produto e quebra. faltou 1 produto e os que recebi 1 veio quebrado;neg
super recomendo. chegou dentro do prazo e o produto e de excelente qualidade! acabou as dores nas costas, estou dormindo muito bem!;pos
nao recebi ainda. aqui esta descrevendo como entregue so que ate agora nao recebi;neg
acho que rastreando o produto devia ser melhor e mais preciso, mas no geral foi uma otima experiencia;pos
ainda nao tive a oportunidade de testar;pos
recomendo. comecei a usar agora;neg
nada a declarar;pos
nota3. comprar um produto correto na capa mas interno ser outro.???????;neg
entrega super rapida;neg
suspense. fiz um pedido de 4 garrafas de azeite.chegaram 2 num dia e as outras 2 quase 48 horas depois.contato com a loja muito dificil,tanto via e-mail qto por telef.o suspense terminou mas la nao compro mais;neg
o produto chegou muito rapido e de boa qualidade recomendo o produto;pos
entrega antes do previsto;pos
nao posso! estou aguardando a chegada do produto que comprei!logo que isso aconteca, terei minha opiniao formada!;neg
comprei dois produtos e recebi somente um. mandei dois emails para a loja e nao tive nenhum retorno. estou insatisfeita.;neg
recomendo;pos
nao recomendaria esta loja nem pretendo voltar a comprar nela.a mercadoria foi entregue apos o prazo e quase 1 mes apos a compra. no site das lannister costumam chegar antes do prazo. estranhei muito;neg
top. recomendo;pos
atendeu minha expectativa.;pos
entrega antes do prazo. produto muito pratico e de facil manuseio.;pos
decepcionado;neg
otimo produto so nao veio manual, mas sem problemas.;pos
uma das pecas nao encaixava, estava de diametro diferente. eu tive que serrar e martelar para poder caber e encaixar.de resto, tudo ok.;pos
excelente produto.;pos
tudo certo;pos
demora na entrega, detestei o atendimento e nunca mais compro. baratheon quando vendia por eles mesmos era bem melhor!;neg
produto muito bom;pos
o meu produto nao chegou... segundo o rastreio esta parado em ribeirao preto sp...;neg
produto deu defeito na 1 vez de uso.;neg
produto show. super recomendo produto profissional de qualidade;pos
ate agora nao recebi o produto.;neg
a loja anuncia um produto e entrega outro.;neg
super recoendo. muito bom e rapido quando vi ja tinha chegado;pos
o produto chegou muito bem;pos
otimo;pos
erraram na caixa acustica. apesar de ter sido entregue rapidamente, substituiram a caixa meteoro pela caixa borne. quando tentei reclamar nas lannister o sistema estaav fora do ar. a guitarra e acessorios estavam corretos.;neg
muito satisfeito;pos
parabens para loja e revendedor apesar de ter demorado um pouco;pos
otima compra. entregue dentro do prazo, e com bom periodo de validade.;pos
o jogo de toalhas e lindo mais bonito do que na foto, amei.;pos
produto foi entregue com umas das alcas com problemas esta faltando 1 pino de fixacao;neg
foi marcado o dia 14/02 para entrega do pedido e no rastreamento marcava que o produto ja havia sido entregue na data mas na realidade nao foi entregue. o produto so foi entregue no dia 28/02.;neg
loja alem do frete ser muito caro . o produto leva quase 30 dias uteis , para chegar na sua casa;neg
recebi bem rapido, porem veio outro produto, e nao o que eu pedi, o modelo veio diferente, a cor, veio uma capinha que nao tem ziper, enfim, nao recomendo.;neg
sempre comprei no stark e estou satisfeito.;pos
fiz a compra por tabela e gracas a deus deu tudo certo fico muito grato pode confiar.;pos
horrivel. cancelaram a minha compra um dia antes da entrega, liguei para a lannister e os atendentes nao sabiam o que estava acontecendo, uma bagunca, agora estou esperando para ver se vai ser cobrado;neg
super recomendo. produto de qualidade e eficiencia na entrega. recebi muito antes do combinado. recomendo;pos
muito bom. . produto bom veio no dentro do prazo chegou em 08 dias estao de parabens.;pos
enviei 2 solicitacoes pelo site para trocar o endereco. recebi a mensagem de que iam me ligar em 48h mas nao ligaram.;neg
tudo ok,o baratheon sempre responsavel com a suas entregas.;pos
o acabento que estava na foto era bonito a que chegou foi de um sintetico feio com um acabento todo borrado orrivel nao gostei;neg
e muito desordenado comprei tres produtos mais nao veio no dia sertoes veio separado e em data separada;neg
otimo. entrega rapida;pos
foi bom;pos
mercadoria certa entregue no prazo combinado. grata;pos
, muito ruim !;neg
passou dos dias previstos.;neg
ao fazer a compra do kit entendi que receberia 2 frascos de 60 capsulas cada e nao 2 frascos com 60 capsulas no total. so nao vou devolver porque estou precisando do produto.;neg
entrega bem antes do prazo perfeito!!;pos
10. cada vez que compro mais fico satisfeita parabens pela honestidade com seus clientes ?;pos
bem rapido a entrega e bom comprar com vcs;pos
produto nao recomendo nao ler em nenhum dispositivo;neg
entrega super rapida, parabens!;pos
recomendo. tudo rapido e eficiente.;pos
muito bom . creme maravilhoso e entrega super rapida;pos
tentando cancelar o produto desde antes da emissao da nota fiscal. nao fui avisada que estava no correio, nao tive nenhuma resposta do cancelamento e nao consigo devolver.;neg
chegou hoje sem comentarios;pos
lamenetavel.... boa noitee lamentavel, esta loja que tantas compras eu ja fiz e hoje nao me da satisfacao sequer de um relogio na importancia de 50,00 reais ... um produto com defeito e ate agora nao me deu retor;neg
muito bom! aquilo que esperava!;pos
qualidade ruim!. a capa protetora nao e exatamente o que eu esperava deixa a desejar no tipo material e na qualidade.;neg
insatisfeito. no site o produto parece ter melhor qualidade de material e acabamento.;neg
mega recomendo. recebi meu produto corretamente e dentro do prazo,verificando na caixa esta tudo correto,mas ainda nao montei.produto lindo,cor perfeita,amamos.super recomendo.;pos
a embalagem deixou a desejar, por pouco o produto nao foi danificado, a caixa estava toda amassada.;neg
excelente produto. parabens .produto entregue bem antes do prazo.atendeu as minhas necessidades.;pos
recomendo.;pos
faltaram os cabos e o manual;neg
otimo chegou bem antes do prazo .;pos
entregue no prazo produto muito bom.;pos
o produto foi embalado apenas com papel pardo sobre a embalagem e enviado pelos correios. logico, a embalagem chegou amassada e so deus sabe se o produto esta funcionando ou nao, ainda nao testei.;neg
acho q deveriam mandar por sedex ao inves de pac;pos
ultima vez que compro pois hoje vai fazer 1 mes que fiz a comprar e nada, e se demorar mas tempo de entregar estarei procurando meus direitos contra as lojas lannister e a targaryen.;neg
lindo... so faltou instrucoes da troca de pulseiras.;pos
produto exatamente conforme descrito.chegou bem antes do prazo!;pos
o produto chegou bem antes do prazo estipulado, amei o atendimento! super recomendo;pos
nao gostei do produto, material de pessima qualidade.;neg
dos dois produtos comprados, foi entregue apenas um!;neg
nao compro mais na lannister. se e parceiro da lannister ou nao essa targaryen jamais uso novamente. quando eu ler que e dessa empresa saio correndo. um absurdo. quase um mes para entregar. extra.com ok;neg
recebi corretamente o produto;neg
recebi o produto dentro do prazo informado, ainda nao utilizei.;pos
recomendo. o pedido chegou antes do combinado, muito bom.;pos
produto entregue conforme anunciado.;pos
nao entrega do produto. recebe apenas 01 peca do produto! estou precisando da 2 pecas restante!;neg
loja 10;pos
o violao que comprei e lindo, porem a cor do adesivo nao confere com a foto do ato da compra, mas aprovei.;pos
nem fizeram a nota fiscal;neg
chegou antes do prazo!produto excelente!;pos
recomendo. trabalho com profissionalismo das lojas lannister. indico com certeza;pos
o mp3 player nao funciona, mesmo trocando a pilha diversas vezes. tive que devolver.;neg
super recomendo o produto que e muito bom!;pos
pre treino muito bom, um dos melhores do mercado, se nao for o melhor.;pos
a loja postou o produto de e mediato o correio demorou um pouco;pos
sempre compro no stark e sempre sou bem atendido, site eficiente e produtos de otima qualidade, recomendo a todos podem comprar de olhos fechados!;pos
muito bom desde da compra a entrega td direitinho e rapido;pos
captador presys blend. tudo ok!;pos
a targaryen nao e de confianca nao entregou a minha compra e colocou no rastreamento do pedido que foi entregue no dia 14/12/17 empresa falsa quero receber meus produtos que foram pagos com boleto bancari;neg
entrega e qualidade do produto de acordo com o esperado.;pos
excelente recomendo;pos
a bolsa e muito bonita por foramas dentro nao tem forro e e bem fragil;neg
produto pirata!. quando instalei o cartucho de tinta, a minha impressora indicou que o mesmo estava vazio, e apresentou a mensagem de erro ! em cima do marcador de nivel da tinta. ja solicitei a troca.;neg
muito bom, recomendo o produto.;pos
produto fraco . quanto ao site nao tenho o que questionar! sempre cumprem super o combinado ... recomendo sempre! mas o produto e fraco..;pos
bom em todos os aspectos;pos
ate hoje estou satisfeito com a sbmarino;pos
nao foram entregue as duas capas de couro compradas. apenas uma delas. aguardo a devolucao do dinheiro ou a entrega da segunda capa.;neg
gostei!;pos
nota 8. fiquei feliz com. o tecido ,mas acho que faltou o lencol de cima para ficar completo , espero que logo lancem.;neg
chegou antes do prazo e a cabeceira e linda.;pos
"houve alguma confusao entre vendedor e o stark, pois recebi um email do stark pedindo o cancelamento do produto por algum imprevisto na entrega; neguei e recebi o produto dias depois.";neg
10;pos
gostei do produto chegou no tempo certo os vendedores estao de parabens;pos
atendimento excelente;pos
gostei;pos
no dia 19 de maio usei e a a alca quebrou sem muito peso;neg
toalha do maior campeao do brasil maravilhosa;pos
a entrega foi realizado muito antes do previsto. bom produto...estou satisfeita;pos
ate agora tudo bem estou esperando a entrega do produto;pos
tudo certo!. a compra ocorreu como o esperado, desde de o pedido ate o recebimento do produto. tudo bem certinho.;pos
o produto foi entregue antes do prazo.;pos
gostei muito do produto era exatamente boque eu esperava, entrega dentro do prazo, parabens recomendo a loja;pos
comprei o produto na cor preta e chegou na cor vermelha.;neg
ja e a segunda vez que compro nesta loja,super eficiente entrega rapida e antes do prazo contratado, produto bem embalado , nota 10muito obrigado;pos
recomendo. otimo;pos
otimo;pos
pensei que a mochila fosse um material mais resistente.;neg
comprei um produto e veio outro.mandei msg informando o erro , porem nao obtive resposta.obrigado;neg
o produto demora muita para chegar !;neg
so recebemos um relogio pelo correioatt;neg
entrega rapida, produto conforme esperado;pos
otimo. tudo como anunciado....otimo produto...;pos
produto de boa qualidade, exatamente conforme anunciado, e o preco baixo e uma atrativo a mais.;neg
somente foi entregue uma unidade, ao inves de duas.;neg
"adorei o produto;; recebi antes do prazo combinado ,, ficou muito bonito";pos
perfeito!!. muito satisfeito.;pos
lol pet. otimo produto porem caro demais !!!;pos
produtos otimos, entrega rapida.super recomendo!!!;pos
bom;pos
recebi sim mais com defeito os encaixes sao dois igual e nao fecham;neg
ainda nao recebi;neg
excelente. tive um pos venda excelente atraves do sr renato;pos
gostei muito do produto, a entrega veio antes do prazo. recomendo, fica bem encaixado no celular, nao tira a elegancia do aparelho, como outras as capas que deixam monstruoso com o tamanho.;pos
1000000. muito bom;pos
ate agora nao recebi.comprei este aparelho por questao de saude,portanto nao recomendo esta loja.;neg
recomendo a todos. produto de otima qualidade, entregue sem problemas.;pos
otimo custo x beneficio. produto chegou dentro do prazo. veio conforme descricao e e excelente.;pos
o produto chegou antes do prazo, e gostei bastante!! agora meu rapazinho de 3 aninhos vai aproveitar ao maximo!!;pos
gostaria de saber quando chegara meu produto?pois ja se passou a data prevista para entrega , gostaria de uma resposta estou aguardando!;neg
loja nota 10;pos
parabens. recebi antes do prazo . tudo correto como foi combinado.;pos
o produto entregue difere do pedidotrata-se de um produto inferior!gostaria que fosse solucionado o problema!nao estou satisfeito com procedimento!;neg
bom . muito bom mesmo!;pos
comprei o produto, paguei no boleto e so recebi metade do produto, anunciaram uma coisa e mandaram outra. muito insatisfeita;neg
entrega antes do prazo produto muito bem conservado.;pos
produto de otima qualidade. adorei!;pos
produto e entrega otimos. apesar da demora em expedir a nota fiscal, depois de expedida a entrega foi rapida e o produto veio bem embalado. recomendo.;pos
comprei o produto dia em inicio de marco e nao recebi no prazo abrindo ate um protocolo para resolverem minha situacao;neg
nao recebi o produto, assim como nenhum contato por parte do .vendedor;neg
nem ratrear estou conseguindo:;neg
nota 10;pos
esperando o instalador;neg
comprei um produto para ser entregue por essa lojae ainda nao recebipois assim ja se passou a data de entrega;neg
otimo servico;pos
otima compra. otimo produto. so senti falta de algum comunicado entre a compra e a chegada do produto, so contato. mas valeu.;pos
veio conforme o pedido mais o pos venda nao respondeu nenhuma das minhas perguntas;neg
comprei duas mochilas, recebi apenas uma, o natal esta chegando e ate agora nada!;neg
perfeitos;pos
o preco foi otimo, o prazo de entrega que e longo mais de 1 mes para entregar. comprei 2 cartuchos e entregaram apenas 1, reclamei e enviaram o outro ainda dentro do prazo de entrega.;neg
produto ok. prazo foi estendido,porem entregue no prazo divulgado na propaganda. cadeira conforme foto, vem para montar, mais facil e linda;pos
excelente. simplesmente lindo!!adorei o produto!!tamanho perfeito!!ja comprei varias produtos, ja faz anos que compro no baratheon !!;pos
muito bom! chegou dentro do prazo.;pos
otimo, preco, entregou antes do prazo e produto de otima qualidade.;pos
comprei um relogio de presente de natal para meu filho e ate agora nao chegou. enviei mensagens e na ultima conversa o relogio chegaria ontem, porem nao recebi nada.;neg
so poderia entregar mais rapido fim de ano;pos
otima venda, tudo perfeito.;pos
produto de otima qualidade!! chegou antes do tempo esperado. amei <3;pos
veio bem embalado, envio rapido!;pos
"estou muito satisfeita com a minha compra e com o recebimento do produto; dentro do prazo!";pos
ate agora nao recebi nada, a colcha estava prevista para anteontem18/12 e ate agora nada;neg
os pinceis vieram amassados, nao condiz com algumas fotos, mas condiz com a descricao. sao fracos, nao cabem na case e um veio descolado;neg
produto correspondente as minhas expectativas! foi entregue antes do prazo estabelecido!;pos
indico a loja compro sempre na lannister .;pos
o produto veio diferente da q mostra na foto, nao e de luxo, nem acolchoado como dizia.;neg
foi tudo normal , como e mesmo uma compra por internet. obrigado.;pos
recomendo a todos. . boa compra.;pos
produto chegou dentro do prazo. atende pelo custo beneficio, porem a bolsa nao e forrada e a alca e de plastico. estou satisfeita.;pos
super recomendado. estou plenamente satisfeita com minha aquisicao. e recomendo. a unica coisa que nao concordo e com o valor de frete. autissimo.;pos
comprei 02 so enviaram 01;neg
parece que mantem bem o alimento sem murchar batata palha mas a tampa e estranha, parece que nao fecha. e o inox da tampa e feio.;neg
estou aguardando uma resposta ate hoje, sobre os meus produtos, ja foram pagos e ainda nao os recebi, foram 03 iguais e necessito falar com pessoas e nao maquina ou gravacoes.;neg
super recomendo. entrega e produto perfeito!;pos
parabens  pelo excelente atendimento de qualidade.;pos
excelente loja;pos
produto entregue antecipadamente.;pos
gostei de comprar recebi o produto antes do prazo e de boa qualidade. recomendo.;pos
super recomendo, stark sempre chegando antes da dta prevista =d;pos
correios nao entregou;pos
entrega feita no prazo e produto em perfeitas condicoesparabens a equipe;pos
ainda nao recebi o produto;neg
gostaria de receber os produtos corretos, tentei realizar a troca pela devolucao de dinheiro no cartao, mas o site da lannister nao possibilita que seja realizado.;neg
super satisfeita. . produto perfeito, entrega rapida. estou satisfeitissima.;pos
meu produto veio com defeito,devolvi conforme informado.postado no correio conforme indicado.e ate hoje nao recebi nenhuma notificacao da empresa quanto a devolucao e analise para ter meuressarcimento;neg
o pedido chegou antes do prazo. obrigada.;pos
so recebemos 1 cartucho ja abrimos reclamacao no site e ainda nao obtive resposta.;neg
produto de alta qualidade. descricao confere com o produtoentregue no tempo certo.recomendo.;pos
o tampo da mesa chegou todo amassado e batido.;neg
dentro do prazo porem poderiam agilizar como no meu outro produto que foi entregue em 2 dias.;neg
o relogio e lindo e a entrega foi muito rapida. recomendo!;pos
adorei! pequeno, facil de usar, nao arranha apela e limpa a pele.. recomendo;pos
super recomendo. como sempre, excelente servico.;pos
ate o momento eu n recebir o produto;neg
como sempre lannister entrega certinho;pos
produto perfeito, chegou antes do prazo!;pos
muito bom o produto . muito bom o produto, melhor que esperava e foi entregue no prazo, gostei bastante.;pos
muito bom o produto e preco cobrado!;neg
sdds;pos
muito bom o produto.recomendo;pos
otimo;pos
entrega dentro do prazo isso e importante.;pos
10. gostei muito , o objeto veio o mesmo comprado, ja comprei em outras lojas e veio outra cor n gostei! com lannister tudo ok.;pos
o aparelho chegou apresentando defeito, nao esta apresentando todas as funcoes no visor digital.;neg
produto incorreto. o produto nao esta nas medidas corretas indicadas na oferta. terei q ligar para vcs para troca;neg
no aguardo de um retorno urgente.;neg
produto mais que passou do prazo de entregar, tento resolver o problema com a empresa e nao consigo falar com ninguem. tudo que fazem e me passar para reclamar num sistema que nao funciona.;neg
so recebi um produto. consta que ja recebi os dois. nao recebi a sapateira.;neg
deram um prazo muito grande para a entrega do produto e nao conseguiram entregar no prazo;neg
excelente produto indico a qualquer pessoa.;neg
otimo. tudo certinho entrega no prazo otimo.;pos
nao recebi o produto.e agora?;neg
chegou amassado...;neg
recomendo!;pos
comprei tapete de borracha para tr4 mitsubishi a loja entregou um tapete de pvc horrivelno titulo ta tapete borracha tr4,me enganaram e agora o que fazer sendo que tem despesa para devolucao, por;neg
gostei. otimo perfume. fragrancia maravilhosa. recomendo;pos
muito boa e rapida e o produto veio em bom estado agora e mesmo fazer os testes!;pos
pedaleira plataforma. o produto superou minha expectativa. o prazo de entrega foi antecipado em 7 dias. ja instalei e ficou show.;pos
entrega rapida;pos
previsao de entrega ate 18/10, recebi em 05/10, excelente.;pos
produto diferente da ilus. cortina de plastico, na foto parece tecido desenho diferente cores morta apagadas, uma verdadeira porcaria, nao recomendo ninguem compra decepcao total;neg
produto com defeito. solicitei devolucao. produto com defeito;neg
regular . loja em si e boa pena a americana nao da suporte ao cliente;pos
exatamente o que eu precisava;pos
achei a qualidade do produto muito ruim, nao veio nenhuma bucha ou parafuso para fixar na parede.;neg
obrigada, chegou mto rapido;pos
o unico problema e que a marcacao de data e a marcacao americana.;pos
bom. acho que o produto deveria ter um prazo de validade maior.;pos
entrega antes do prazo.. entrega antes do prazo, recomendo essa loja.;pos
show;pos
boa noite as lojas lannister sao otimas adoro o site hoje faco pouquissima compra pelo frete abusivo infelizmente nao compensa como antes mas precisamos comprar obrigada;neg
excelente produto, bonito e sofisticado.;pos
nao veio a nota fiscal;pos
super recomendo. agradeco muito, pois recebi o produto correto conforme encontrado no site, a entrega foi super rapida. fiquei muito satisfeito e com certeza vou recomentar para os amigo.;pos
entrega rapida produto conforme anunciado;pos
meu produto ainda nao foi entregue, ja fiz minha reclamacao e ate agora nao tive nenhuma previsao de entrega. estou super insatisfeito e quero meu dinheiro de volta. foi denunciar ao procon.;neg
a cortina nao e o modelo que pedi.;neg
a impressao esta saindo com a tinta fraquinha...;neg
comprei rosa com bracos brancos e entregam toda preta ?;neg
preciso de uma previsao.;neg
estou muito satisfeita chegou antes do prazo super recomendo;pos
produto chegou antes do prazo estipulado e atendeu plenamente minhas expectativas.;pos
bom;neg
entrega dentro do prazo, produto sem nenhum problema;pos
muito bom. bom;pos
boa qualidade e preco.;pos
sempre entrega antes do prazo.;pos
recomendo. muito bom.super recomendo.entrega sempre certa.;pos
boas pessoal, a atendente da lannister foi muito atenciosa porem a loja que deveria ter me entregado o produto cancelou a comprar ??? o que sera que aconteceu ???;neg
entregue antes do prazo! produto perfeito!;pos
recomendo para todos, nao tive problema nenhum, mercadoria e prazo otimos.;pos
gostei de ter comprado nesta loja. atendimento perfeito.;pos
comprei uma cadeira, recebi no prazo, porem a cadeira veio quebrada na parte inferior. poderiam ter um maior cuidado na embalagem.;neg
sempre compro e sempre recebo o produto certo no prazo ou antes do prazo;pos
entrega muito rapida;pos
o produto foi entregue bem antes do prazo.adorei;pos
otimo produtos. ainda nao instalei mais gostei muito;pos
luminaria excelente. bom produto. entrega rapida. recomendo;pos
recomendo a todos.otima.;pos
produto recebido no prazo e em perfeitas condicoes.;pos
chegou antes do prazo de . muito bom;pos
recebi outra boneca, quero devolver e nao consigo contato! jamais compraria novamente dessa loja!;neg
otima compramas o frete nao compensa,pesa no orcamento.devia ter frete grates;neg
n/a;pos
o produto chegou como eu imaginava,por enquanto estou gostando;pos
muito boa americana . otima rapida na entrega obrigado;pos
excelente;pos
entrega de encomenda. penso que deveria haver um modo de se comunicar com a empresa caso acontecesse de encomenda nao ser entregue;neg
produto bom, prazo bom...;pos
muito bom. ja e o segundo objeto que compro e recebi sem problema nenhum;pos
bonito e de boa qualidade. adorei;pos
excelente!. o produto chegou antes do prazo.;pos
boa noite , nao gostei pois nunca conseguimos falar com vcs pelo telefone;neg
vendedor compromisso do vou o cliente;pos
o produto nao atendeu minhas espectativas, pois os potinhos sao dificeis de abrir e fechar e a bandeja onde vai os potinhos veio com pontos de ferrugem;neg
muito satisfeito entrega super rapida.. show ..parabens.. eu vacilei e comprei um celular nas casas bahia tem quase um mes e nao entregaram..;pos
recomendo!;pos
otimo;pos
tudo cento e no prazo recomento;pos
nao recebi o jogo na cor tabaco. so o vermelho.;neg
nao foi entregue na minha casa , por isso nao gostei , nao tenho tempo de esta indo nos correios..;neg
compra perfeita.;pos
o produto veio estragado;neg
minha mercadoria nao foi entregue , ja paguei a primeira fatura quero cancelar a compra pois paguei o frete e nao recebi a mercadoria.;neg
produto pessimo. produto ja chegou com defeito nao fucionou conforme minha necessidade de uso. infelizmente ultima compra minha totalmente insatisfeito.;neg
recebi apenas 1 caixa com 100 unidades, e pedi 2 caixas.;neg
estou extremamente decepcionado. isso nunca havia acontecido;neg
otima;pos
comprei dois pendentes so chegou um. preciso saber o que foi que houve?;neg
boa. recomendo esta loja entrega direitinho;pos
tudo conforme e entrega muito rapida!!!! que pena que nao verifiquei a cor, pois era preta e precisava de cinza. outro ponto que tive que lixar pouco para funcionar, mas nada demais.;pos
entrega rapida e correta;pos
produto de facil montagem e atende perfeitamente ao proposito para otimizar espaco.;pos
produto veio com amassados e tambem nao esta funcionando corretamente.;neg
gostei do produto;pos
muito bom. produto de otima qualidade;pos
estou esperando ha mais de vinte dias e ainda nao recebi meu produto e nao consigo nenhuma informacao.;neg
estou aguardando posicao da empresa para fazer a devolucao do produto.;neg
meu produto nao chegou;neg
o cep foi escrito errado, tive que retirar o produto nos correios da cidade vizinha.;neg
fornecedor nao enviou o produto correto. solicitei o sabor chocolate e me foi enviado outro sabor.;neg
recomendo esta loja.;pos
otimo produto.;pos
otima. excelente;pos
continuem assim, com essa responsabilidade com o consumidor, tanto no produto, quanto no prazo de entrega. primeira vez que compro e vou comprar muitas. obrigado.;pos
adorei. moderno, bonito, meu cantinho do cafe vai ficar top;pos
recomendaria sim. bom , foi o que esperava.;pos
tudo correu como combinado, nada a reclamar.;pos
de facil manuseio, ate o presente atende as expectativas.;pos
recomendo. relogio lindo entrega antes do prazo;pos
capa de notbuk . veio conforme o anunciado simples mais bonita.;pos
produto condiz com o anuncio;pos
o produto ainda nao chegou;neg
satisfeito eu recomendo;pos
amei, chegou rapidinho, ainda vou testa-lo.obrigado!!;pos
gostei muito do que comprei com vcs muito obrigada breve farei outras compras vanda;pos
entrega atrasada. ainda nao recebi o produto...;neg
recebi, a bolsa e diferente mas gostei estava previsto pra 31 de janeiro estava achando muito tempo porque e pra escola e estou aguardando o vale compra da primeira compra da bolsa que nao deu certo;pos
recebi o produto que queria e antes do prazo combinado, muito bom, recomendo com certeza.;pos
na propaganda esta escrito mixer eletrico e veio um portatil que eu tenho tres que quebrou por isso eu queria um eletrico, voces devem especificar melhor os produtos;neg
produto entregue antes do prazo combinado. nao e a primeira vez que compro pelo site lojas lannister e recomendo tal empresa pela seriedade no trato com os clientes.;pos
comprei 2 produtos . comprei 2 produtos so mandaram 1 e n mim deram nenhuma justificativa !;neg
agradeco muito bom.;pos
dentro do previsto;pos
recebi antes do prazo estimado.;pos
muito bom. so imaginei que fosse maior a boneca. mais e legal;pos
tive problema na entrega, pois nao tinha ninguem em casa para receber a mercadoria no horario que passaram.;neg
